timestamp,close,potential_side,below_lower_MR_long,above_upper_MR_short,price_above_high3,price_below_low3,rsi_gt_60_BO_long,rsi_lt_40_BO_short,potential_stop,atr_gt_median_vol
2026-01-07 05:00:00,93260.0,0,False,False,True,False,False,False,93260.0,True
2026-01-07 06:00:00,93362.4,0,False,False,False,False,False,False,93362.4,True
2026-01-07 07:00:00,93750.0,0,False,False,False,False,False,False,93750.0,True
2026-01-07 08:00:00,92706.0,0,False,False,False,False,False,False,92706.0,True
2026-01-07 09:00:00,92450.1,-1,False,False,False,True,False,True,92912.3505,True
2026-01-07 10:00:00,92957.9,0,False,False,False,False,False,False,92957.9,True
2026-01-07 11:00:00,92814.4,0,False,False,False,False,False,False,92814.4,True
2026-01-07 12:00:00,92674.3,0,False,False,False,False,False,False,92674.3,True
2026-01-07 13:00:00,92531.3,0,False,False,False,False,False,False,92531.3,True
2026-01-07 14:00:00,92620.6,0,False,False,False,False,False,False,92620.6,True
2026-01-07 15:00:00,92883.6,0,False,False,False,False,True,False,92883.6,True
2026-01-07 16:00:00,92900.0,0,False,False,True,False,False,False,92900.0,True
